index,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,target,target_by_group
C4_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,196,1.868484,3.659682,2.290298,2.291456,2.292322,2.293964,0.0614,2.32872,1.057873,2
C4_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,197,1.758471,3.242423,2.0987,2.098727,2.101113,2.101496,0.053793,3.029296,0.646678,2
C4_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,198,1.657997,3.020832,2.021894,2.022039,2.02232,2.022393,0.059781,2.474803,0.044558,0
C4_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,197,1.612457,2.941664,1.994254,1.99452,1.996443,1.996671,0.063873,2.115178,0.360666,2
C4_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,198,1.568974,2.542498,1.95888,1.959021,2.003927,2.003972,0.069508,1.710041,0.49526,2
C4_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,193,1.521668,2.233421,1.945174,1.945581,1.959281,1.959397,0.07385,1.455133,0.3637,2
C4_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,194,1.713176,1.154536,1.853183,1.915776,1.927303,2.067013,0.047322,4.033058,-0.262473,2
C4_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,195,1.761491,1.125279,1.853396,1.856927,1.938048,2.088862,0.047884,4.321466,-0.661814,2
C4_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,196,1.968205,1.108112,1.89729,1.903536,1.939454,2.065209,0.025361,4.824064,-0.330046,2
C4_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,197,1.619725,2.803551,1.963499,1.963536,1.963875,1.963925,0.05809,2.630721,1.823323,2
C4_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,196,2.044176,3.638163,2.396085,2.397465,2.409578,2.417414,0.049511,3.408157,1.112474,2
C4_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,197,1.914882,3.557327,2.214514,2.21453,2.21471,2.214837,0.044519,3.803673,0.677871,2
C4_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,198,1.795568,3.279384,2.107529,2.1076,2.108164,2.108226,0.04886,3.463619,-0.135901,1
C4_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,199,1.736009,3.181475,2.066755,2.066804,2.068372,2.068626,0.053026,3.0993,-0.070475,0
C4_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,198,1.705794,3.113737,2.035648,2.03601,2.037177,2.037239,0.053711,3.036802,0.193078,1
C4_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,199,1.65126,2.455578,1.981113,1.981235,2.091706,2.091821,0.06291,2.256347,0.26497,2
C4_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,200,1.593606,2.295012,1.99623,1.99646,2.094807,2.094922,0.073977,1.505978,0.068948,0
C4_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,195,2.231994,1.096812,1.961581,1.977644,2.040654,2.222759,0.05384,4.342708,-0.650142,2
C4_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,196,2.190387,1.101598,1.990478,1.999494,2.029299,2.169471,0.04012,4.661026,-0.647666,2
C4_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,197,1.697334,3.607151,2.358593,2.358616,2.358681,2.359233,0.095066,1.02799,1.486287,2
C4_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,195,1.893641,3.499942,2.194221,2.194441,2.194475,2.194541,0.045097,3.761136,0.412917,2
C4_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,196,1.795607,3.270581,2.105336,2.105476,2.106368,2.106424,0.048582,3.48677,-0.564705,2
C4_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,199,1.747925,3.158844,2.049124,2.049243,2.052423,2.052595,0.048704,3.476573,-0.559518,2
C4_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,198,1.714933,3.12807,2.038044,2.038048,2.04118,2.041283,0.052619,3.136169,-0.352784,2
C4_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,193,1.680564,2.654971,1.995077,1.995682,2.071924,2.072182,0.057567,2.69199,-0.090075,0
C4_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,194,1.630456,2.388643,2.01043,2.01048,2.067083,2.067106,0.066763,1.906533,-0.285042,2
C4_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,195,1.803208,1.176481,1.960767,1.972883,2.006245,2.108932,0.035899,4.318718,-0.197158,1
C4_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,196,2.35125,1.1035,1.985908,1.990351,2.014696,2.129422,0.055774,4.319035,-0.377038,2
C2N2-t_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,198,1.886991,3.454328,2.160292,2.16454,2.219183,2.223633,0.04579,3.693409,0.900942,2
C2N2-t_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,199,1.745246,3.131126,2.038954,2.040154,2.074454,2.074747,0.050025,3.361613,0.009751,0
C2N2-t_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,200,1.680965,2.996335,1.972575,1.988683,2.017341,2.049676,0.053739,3.033947,0.02584,0
C2N2-t_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,199,1.619702,2.848899,1.961596,1.96206,2.004624,2.005847,0.060931,2.378758,0.286587,2
C2N2-t_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,200,1.569291,2.726026,1.937051,1.937657,1.967019,1.967297,0.065336,2.001962,0.506772,2
C2N2-t_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,195,1.480737,2.373204,1.889212,1.895969,1.900122,1.939139,0.074748,1.42273,0.426936,2
C2N2-t_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,196,1.434446,2.356133,1.870436,1.871042,1.904164,1.905027,0.080706,1.214922,0.16781,1
C2N2-t_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,197,1.703581,1.139104,1.838418,1.866295,1.945839,2.016352,0.045675,4.139424,-0.09244,0
C2N2-t_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,198,1.535513,2.494327,1.888699,1.889161,1.976581,1.976718,0.068595,1.810677,1.396907,2
C2N2-t_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,199,1.586897,2.839492,1.981013,1.98228,2.097197,2.098123,0.074333,1.511411,1.522116,2
C2N2-t_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,198,2.061837,3.80247,2.289249,2.292703,2.360134,2.362966,0.037221,4.231096,1.02301,2
C2N2-t_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,199,1.906455,3.465371,2.148798,2.150411,2.185027,2.186194,0.039505,4.125948,0.046661,0
C2N2-t_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,200,1.815524,3.212259,2.059849,2.072938,2.085228,2.091965,0.041396,4.013841,-0.57317,2
C2N2-t_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,201,1.751347,2.716802,2.028877,2.057735,2.06247,2.09066,0.049418,3.410798,-0.410397,2
C2N2-t_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,200,1.692662,2.997744,1.99764,1.998647,2.052297,2.053306,0.054367,2.9769,-0.114068,1
C2N2-t_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,201,1.619888,2.385611,1.971864,1.981064,2.03123,2.052749,0.064508,2.089151,0.085208,0
C2N2-t_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,202,1.599238,1.81981,1.924947,1.998034,2.015541,2.027951,0.065631,2.009514,-0.040053,0
C2N2-t_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,197,2.019097,1.108599,1.929532,1.950754,2.031038,2.159413,0.030852,4.692802,-0.256461,2
C2N2-t_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,198,1.673794,2.796129,1.989643,1.990341,2.085268,2.085698,0.05927,2.550201,1.652822,2
C2N2-t_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,199,1.687073,3.203938,2.16802,2.551525,2.595257,2.703034,0.141286,1.087277,0.959988,2
C2N2-t_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,197,1.883183,3.404815,2.133592,2.134889,2.160215,2.160768,0.040362,4.078508,-0.311572,2
C2N2-t_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,198,1.806595,3.206544,2.062261,2.065842,2.076703,2.07891,0.041915,3.982919,-0.963245,2
C2N2-t_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,201,1.75994,3.133141,2.046861,2.048102,2.051694,2.053901,0.046616,3.645075,-0.85952,2
C2N2-t_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,200,1.697138,2.990663,2.003265,2.004781,2.047701,2.04906,0.053714,3.035897,-0.575255,2
C2N2-t_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,195,1.650588,2.403289,1.990218,1.990618,2.034309,2.058201,0.06051,2.422359,-0.4277,2
C2N2-t_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,196,1.615151,2.159258,1.933279,2.005954,2.025472,2.026138,0.06372,2.156418,-0.267914,2
C2N2-t_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,197,1.827564,1.159804,1.932692,1.964668,2.003335,2.100149,0.035025,4.506384,0.025868,0
C2N2-t_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,198,1.658688,2.766519,1.983111,1.983967,2.036727,2.038168,0.058026,2.643996,1.592526,2
N4_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,200,1.859704,3.374653,2.138601,2.138644,2.138822,2.138857,0.042867,3.920365,-0.170878,1
N4_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,201,1.739955,3.053816,1.997171,1.997847,2.070244,2.070312,0.047623,3.543281,-0.422243,2
N4_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,202,1.670317,2.898602,1.983102,1.983144,1.983386,1.983413,0.052139,3.179292,-0.04037,0
N4_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,201,1.598315,2.69487,1.952565,1.95258,1.952633,1.952713,0.060251,2.43196,0.385456,2
N4_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,202,1.525919,2.528404,1.910163,1.9102,1.910356,1.910387,0.067085,1.862926,0.496341,2
N4_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,197,1.489982,2.474423,1.88851,1.888524,1.888828,1.888847,0.070529,1.632606,0.391249,2
N4_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,198,1.441479,2.427462,1.884777,1.884822,1.885023,1.885052,0.078999,1.256256,0.266648,2
N4_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,199,1.482843,2.539556,1.913135,1.913141,1.913626,1.913648,0.075399,1.384825,1.720403,2
N4_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,200,1.543107,2.836918,2.003484,2.003502,2.00351,2.003553,0.077078,1.319579,1.833608,2
N4_Zn,30,12,4,12,1.65,-0.62,5.75,9.3942,1.2,692.68,1180,7140,65.38,201,1.559557,3.113991,2.127824,2.127995,2.128001,2.128023,0.0903,1.058327,0.96312,2
N4_Y ,39,3,5,3,1.22,0.307,22.7,6.2173,1.76,1799,3618,4472,88.906,200,2.037627,3.734771,2.27157,2.272377,2.274438,2.275447,0.033897,4.425948,-0.009992,0
N4_Zr,40,4,5,4,1.33,0.4333,17.9,6.6339,1.64,2128,4682,6511,91.224,201,1.894608,3.399058,2.131413,2.131742,2.131971,2.132173,0.036418,4.305213,-0.791902,2
N4_Nb,41,5,5,5,1.6,0.9174,15.7,6.7589,1.56,2750,5017,8570,92.906,202,1.801158,3.145375,2.000447,2.001152,2.126497,2.126912,0.045931,3.889948,-0.77757,2
N4_Mo,42,6,5,6,2.16,0.7473,12.8,7.0924,1.46,2896,4912,10280,95.95,203,1.715977,2.962334,2.009833,2.009856,2.010054,2.010074,0.048214,3.517142,-0.328023,2
N4_Tc,43,7,5,7,1.9,0.55,11.4,7.28,1.38,2430,4538,11500,98,202,1.624406,2.695943,1.976643,1.976682,1.976778,1.976806,0.059143,2.533285,-0.348321,2
N4_Ru,44,8,5,8,2.2,1.0464,9.6,7.3605,1.36,2607,4423,12370,101.07,203,1.579724,2.593777,1.953618,1.953627,1.95377,1.953799,0.063693,2.130227,-0.451034,2
N4_Rh,45,9,5,9,2.28,1.1429,8.6,7.4589,1.34,2237,3968,12450,102.91,204,1.52905,2.534072,1.954077,1.954077,1.955054,1.955056,0.072836,1.50389,-0.15525,1
N4_Pd,46,10,5,10,2.2,0.5621,4.8,8.3369,1.3,1828.05,3236,12023,106.42,199,1.648402,2.675399,1.962148,1.962183,1.962966,1.962978,0.05292,3.108952,1.956683,2
N4_Ag,47,11,5,11,1.93,1.3045,6.78,7.5762,1.36,1234.93,2435,10490,107.87,200,1.61718,3.589731,2.396839,2.39791,2.400342,2.401322,0.111568,1.000998,0.925513,2
N4_Cd,48,12,5,12,1.69,-0.725,7.36,8.9938,1.4,594.22,1040,8650,112.41,201,1.693532,3.600303,2.361998,2.36232,2.364429,2.364576,0.096142,1.02345,0.128459,1
N4_Hf,72,4,6,4,1.3,0.017,16.2,6.8251,1.64,2506,4876,13310,178.49,199,1.865921,3.330152,2.107128,2.107264,2.108583,2.10872,0.037601,4.242913,-1.017191,2
N4_Ta,73,5,6,5,1.5,0.323,13.1,7.5496,1.58,3290,5731,16650,180.95,200,1.790565,3.093971,1.992899,1.993836,2.107068,2.10716,0.04356,3.918861,-0.969752,2
N4_W ,74,6,6,6,2.36,0.8163,11.1,7.864,1.5,3695,5828,19250,183.84,203,1.72305,2.986273,2.008862,2.008923,2.009636,2.00968,0.046921,3.621217,-0.823227,2
N4_Re,75,7,6,7,1.9,0.0604,9.7,7.8335,1.41,3459,5869,21020,186.21,202,1.642577,2.766893,1.984793,1.984805,1.98596,1.985974,0.057229,2.710741,-0.691264,2
N4_Os,76,8,6,8,2.2,1.1,8.5,8.4382,1.36,3306,5285,22610,190.23,197,1.608486,2.705759,1.967873,1.967876,1.967951,1.967955,0.060662,2.394788,-0.59014,2
N4_Ir,77,9,6,9,2.2,1.5644,7.6,8.967,1.32,2739,4701,22650,192.22,198,1.558071,2.583965,1.963602,1.963634,1.963649,1.963695,0.068941,1.733234,-0.261786,2
N4_Pt,78,10,6,10,2.28,2.1251,6.5,8.9588,1.3,2041.4,4098,21090,195.08,199,1.589445,2.636296,1.965889,1.965892,1.966934,1.967038,0.063794,2.121752,1.622867,2
N4_Au,79,11,6,11,2.54,2.3086,5.8,9.2255,1.3,1337.33,3129,19300,196.97,200,1.880423,2.887193,1.986162,1.9862,1.986865,1.986884,0.017276,4.892304,2.264791,2
B4_Sc,21,3,4,3,1.36,0.188,17.8,6.5615,1.59,1814,3103,2985,44.956,192,1.84367,3.896744,2.417896,2.418007,2.420015,2.420054,0.079908,1.230136,0.307615,2
B4_Ti,22,4,4,4,1.54,0.084,14.6,6.8281,1.48,1941,3560,4507,47.867,193,1.739241,3.371879,2.152048,2.154464,2.422772,2.430168,0.090554,1.474295,0.064443,0
B4_V ,23,5,4,5,1.63,0.5277,12.4,6.7462,1.44,2183,3680,6110,50.942,194,1.694053,3.456867,2.196914,2.197016,2.200811,2.20107,0.077011,1.322067,0.331256,2
B4_Cr,24,6,4,6,1.66,0.6758,11.6,6.7665,1.3,2180,2944,7140,51.996,193,1.798278,1.316595,2.082554,2.129806,2.17305,2.28115,0.05831,2.832913,-0.244253,2
B4_Mn,25,7,4,7,1.55,-0.52,9.4,7.434,1.29,1519,2334,7470,54.938,194,1.623011,3.349234,2.17939,2.179429,2.180643,2.180667,0.086167,1.104099,0.514086,2
B4_Fe,26,8,4,8,1.83,0.1532,8.4,7.9024,1.24,1811,3134,7874,55.845,189,1.661797,1.34462,1.944499,2.014341,2.038625,2.126066,0.062918,2.484701,-0.258607,2
B4_Co,27,9,4,9,1.88,0.6623,7.5,7.881,1.18,1768,3200,8900,58.933,190,1.513325,1.744273,1.907909,1.908034,2.072025,2.072351,0.080519,1.342349,-0.017228,0
B4_Ni,28,10,4,10,1.91,1.1572,6.8,7.6398,1.17,1728,3186,8908,58.693,191,1.603832,1.331454,1.965563,2.002944,2.009362,2.068532,0.067608,1.860181,-0.115749,1
B4_Cu,29,11,4,11,1.9,1.2358,6.2,7.7264,1.22,1357.77,3200,8920,63.546,192,1.533453,3.072247,2.039664,2.039698,2.039914,2.040034,0.083588,1.145999,1.008091,2
